title,release_year,release_month,month_name,budget_musd,revenue_musd,predicted_revenue_musd,hit_probability_pct,risk_score,is_hit,is_flop,predicted_is_hit,is_major_studio,is_indie,studio_type,primary_genre,has_franchise,has_superhero,has_imax,director_median_revenue_musd
Get Hard,2015,3,March,40.0,111.81,120.91,91.5,0.0,1,0.0,1,1,0,Major Studio,Comedy,0,0,0,51.75
The Sound of Music,1965,3,March,8.2,286.21,174.22,83.5,40.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,65.01
Dr. No,1962,10,October,0.95,59.6,63.76,75.2,0.0,1,0.0,1,0,0,Mid-size Studio,Action,0,0,0,75.1
13 Hours: The Secret Soldiers of Benghazi,2016,1,January,50.0,69.41,78.45,79.3,45.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,523.92
Raging Bull,1980,11,November,18.0,23.0,77.19,62.6,40.0,0,0.0,1,0,0,Mid-size Studio,Other,0,0,0,120.85
[REC],2007,4,April,1.5,30.45,24.46,23.1,0.0,0,0.0,0,0,0,Mid-size Studio,Other,0,0,0,18.47
The Descendants,2011,9,September,20.0,177.24,67.96,68.1,60.0,1,0.0,1,0,0,Mid-size Studio,Comedy,0,0,0,77.66
Project Almanac,2015,1,January,12.0,32.25,30.79,26.6,35.0,0,0.0,0,1,0,Major Studio,Other,0,0,0,51.75
Swordfish,2001,6,June,102.0,147.08,214.24,97.5,0.0,1,0.0,1,1,0,Major Studio,Action,1,0,0,124.7
Frankenweenie,2012,10,October,39.0,35.29,100.04,58.2,0.0,0,1.0,1,0,0,Mid-size Studio,Animation,0,0,0,254.01
Tower Heist,2011,11,November,75.0,152.93,196.1,96.9,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,263.11
"Me, Myself & Irene",2000,6,June,51.0,149.27,189.84,96.7,0.0,1,0.0,1,1,0,Major Studio,Comedy,1,0,0,118.89
The Hunt,2012,8,August,3.8,16.8,22.15,11.3,25.0,0,0.0,0,0,0,Mid-size Studio,Other,0,0,0,51.75
Alexander,2004,11,November,155.0,167.3,236.08,96.9,25.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,92.56
"Crouching Tiger, Hidden Dragon",2000,10,October,17.0,213.53,153.58,85.4,40.0,1,0.0,1,0,0,Mid-size Studio,Action,0,0,0,196.02
Ponyo,2008,7,July,41.68,187.48,138.25,80.3,0.0,1,0.0,1,0,0,Mid-size Studio,Animation,0,0,0,223.0
Man on a Ledge,2012,1,January,42.0,46.22,69.53,40.7,20.0,0,0.0,0,0,0,Mid-size Studio,Action,0,0,0,51.75
Tomorrow Never Dies,1997,12,December,110.0,333.01,275.37,96.8,0.0,1,0.0,1,0,0,Mid-size Studio,Action,0,0,0,51.74
The Three Musketeers,2011,8,August,75.0,132.27,170.64,96.2,0.0,1,0.0,1,0,0,Mid-size Studio,Action,0,0,0,129.95
What Happens in Vegas,2008,5,May,35.0,170.0,131.02,90.7,0.0,1,0.0,1,1,0,Major Studio,Comedy,0,0,0,15.13
Anchorman 2: The Legend Continues,2013,12,December,50.0,173.65,147.92,92.8,0.0,1,0.0,1,1,0,Major Studio,Comedy,1,0,0,137.09
Red Riding Hood,2011,3,March,42.0,89.16,135.32,94.1,0.0,1,0.0,1,1,0,Major Studio,Other,1,0,0,136.88
The Deer Hunter,1978,12,December,15.0,50.0,62.87,32.0,40.0,0,0.0,0,1,0,Major Studio,Other,0,0,0,3.48
What's Eating Gilbert Grape,1993,12,December,11.0,30.0,74.88,53.9,40.0,0,0.0,1,1,0,Major Studio,Other,0,0,0,76.02
21 Grams,2003,9,September,20.0,60.43,66.67,70.2,60.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,163.51
Cloudy with a Chance of Meatballs 2,2013,9,September,78.0,248.38,240.87,95.8,20.0,1,0.0,1,1,0,Major Studio,Animation,0,0,0,51.75
As Good as It Gets,1997,12,December,50.0,314.18,212.34,92.5,0.0,1,0.0,1,0,0,Mid-size Studio,Comedy,0,0,0,51.86
Charlie's Angels: Full Throttle,2003,6,June,120.0,259.18,253.77,98.0,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,177.72
Jerry Maguire,1996,12,December,50.0,273.55,222.83,93.8,25.0,1,0.0,1,0,0,Mid-size Studio,Comedy,0,0,0,89.83
Scary Movie 3,2003,10,October,48.0,220.67,149.72,91.8,0.0,1,0.0,1,0,0,Mid-size Studio,Comedy,0,0,0,90.73
The Ides of March,2011,9,September,12.5,75.99,53.95,49.1,60.0,1,0.0,0,0,0,Mid-size Studio,Other,0,0,0,70.97
Robin Hood: Prince of Thieves,1991,6,June,48.0,390.49,186.06,92.7,0.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,96.5
We Bought a Zoo,2011,12,December,50.0,120.08,141.86,95.4,25.0,1,0.0,1,1,0,Major Studio,Comedy,0,0,0,120.52
A Knight's Tale,2001,5,May,65.0,117.49,203.76,95.5,25.0,1,0.0,1,0,0,Mid-size Studio,Action,1,0,0,77.8
The Next Three Days,2010,11,November,30.0,51.15,70.03,47.0,25.0,0,0.0,0,0,0,Mid-size Studio,Other,0,0,0,63.98
Saw IV,2007,10,October,10.0,139.35,90.21,78.6,15.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,105.66
The Lincoln Lawyer,2011,3,March,40.0,85.41,61.54,72.2,25.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,39.03
Scream 4,2011,4,April,40.0,97.14,105.23,92.3,0.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,74.18
Spaceballs,1987,6,June,22.7,38.12,52.77,51.4,15.0,0,0.0,1,0,0,Mid-size Studio,Comedy,0,0,0,67.13
Bedtime Stories,2008,12,December,80.0,212.87,217.62,97.1,0.0,1,0.0,1,1,0,Major Studio,Comedy,0,0,0,94.38
This Is 40,2012,12,December,35.0,88.06,104.13,91.5,0.0,1,0.0,1,0,0,Mid-size Studio,Comedy,1,0,0,132.7
Body of Lies,2008,10,October,70.0,113.28,132.27,96.7,25.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,205.09
Hot Tub Time Machine,2010,3,March,36.0,64.57,73.46,83.3,0.0,1,0.0,1,0,0,Mid-size Studio,Comedy,0,0,0,30.66
The Evil Dead,1981,10,October,0.35,29.4,19.25,23.1,0.0,0,0.0,0,0,0,Mid-size Studio,Other,0,0,0,443.36
The Legend of Zorro,2005,10,October,75.0,142.4,192.14,96.9,0.0,1,0.0,1,0,0,Mid-size Studio,Action,0,0,0,285.32
"South Park: Bigger, Longer & Uncut",1999,6,June,21.0,,56.24,42.9,15.0,0,,0,1,0,Major Studio,Animation,0,0,0,50.91
The Karate Kid,1984,6,June,8.0,90.82,117.47,80.6,25.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,117.24
Blue Valentine,2010,12,December,3.5,16.57,24.59,18.2,25.0,0,0.0,0,0,0,Mid-size Studio,Other,0,0,0,35.49
The Neon Demon,2016,6,June,7.0,1.33,6.3,24.5,0.0,0,1.0,0,0,0,Mid-size Studio,Other,0,0,0,30.22
Hostel,2005,1,January,4.8,80.58,29.24,67.3,20.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,21.23
Kiss Kiss Bang Bang,2005,9,September,15.0,15.79,49.5,38.4,35.0,0,0.0,0,1,0,Major Studio,Action,0,0,0,1215.44
Melancholia,2011,5,May,7.4,21.82,6.88,17.0,25.0,0,0.0,0,0,0,Mid-size Studio,Other,0,0,0,20.35
3 Days to Kill,2014,2,February,28.0,52.6,45.03,65.9,25.0,1,0.0,1,0,0,Mid-size Studio,Action,0,0,0,219.03
Paddington,2014,11,November,55.0,259.21,120.83,90.2,0.0,1,0.0,1,0,0,Mid-size Studio,Comedy,0,0,0,51.75
A Fistful of Dollars,1964,9,September,0.2,14.5,10.5,8.2,45.0,0,0.0,0,0,0,Mid-size Studio,Other,0,0,0,5.66
Stoker,2013,2,February,12.0,12.08,20.57,22.6,40.0,0,0.0,0,0,0,Mid-size Studio,Other,0,0,0,19.39
Legally Blonde,2001,7,July,18.0,141.77,107.24,88.4,15.0,1,0.0,1,0,0,Mid-size Studio,Comedy,0,0,0,109.0
Desperado,1995,8,August,7.0,25.41,53.22,32.0,0.0,0,0.0,0,1,0,Major Studio,Action,0,0,0,72.3
LOL,2012,2,February,11.0,,43.89,23.3,40.0,0,,0,0,0,Mid-size Studio,Comedy,0,0,0,51.75
The Watch,2012,7,July,68.0,68.27,108.87,95.3,0.0,1,0.0,1,1,0,Major Studio,Comedy,0,0,0,14.33
Immortals,2011,11,November,75.0,226.9,172.16,95.2,25.0,1,0.0,1,0,0,Mid-size Studio,Action,0,0,0,105.9
Freaky Friday,2003,8,August,26.0,110.23,98.21,86.8,0.0,1,0.0,1,1,0,Major Studio,Comedy,0,0,0,118.5
Seven Samurai,1954,4,April,2.0,0.27,1.48,10.2,25.0,0,1.0,0,0,0,Mid-size Studio,Action,0,0,0,51.75
A Few Good Men,1992,12,December,40.0,243.24,148.02,86.9,25.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,62.28
Shame,2011,10,October,6.5,17.69,28.65,24.0,25.0,0,0.0,0,0,0,Mid-size Studio,Other,0,0,0,187.0
Big Daddy,1999,6,June,34.2,234.8,167.05,94.2,25.0,1,0.0,1,1,0,Major Studio,Comedy,0,0,0,163.59
Homefront,2013,11,November,22.0,43.06,43.96,19.3,15.0,0,0.0,0,0,0,Mid-size Studio,Action,0,0,0,42.72
Flushed Away,2006,10,October,149.0,64.46,200.37,95.4,0.0,1,1.0,1,1,0,Major Studio,Animation,0,0,0,64.54
Monster House,2006,7,July,75.0,140.18,211.93,95.0,0.0,1,0.0,1,1,0,Major Studio,Animation,0,0,0,17.87
The Imaginarium of Doctor Parnassus,2009,10,October,30.0,64.35,57.89,77.2,0.0,1,0.0,1,0,0,Mid-size Studio,Other,1,0,0,41.06
Spy Kids,2001,3,March,35.0,147.93,115.15,86.7,0.0,1,0.0,1,0,0,Mid-size Studio,Action,0,0,0,64.13
Final Destination 5,2011,8,August,47.0,157.89,161.44,91.6,0.0,1,0.0,1,1,0,Major Studio,Other,1,0,0,160.6
The Grudge,2004,10,October,10.0,183.47,85.53,82.0,15.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,39.14
Tremors,1990,1,January,11.0,48.57,52.28,41.5,35.0,0,0.0,0,1,0,Major Studio,Action,0,0,0,7.1
Rambo: First Blood Part II,1985,5,May,44.0,300.4,164.55,88.4,0.0,1,0.0,1,0,0,Mid-size Studio,Action,0,0,0,29.33
The Passion of the Christ,2004,2,February,30.0,611.9,119.2,91.6,25.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,165.09
Rosemary's Baby,1968,6,June,3.2,33.4,29.11,15.6,25.0,0,0.0,0,1,0,Major Studio,Other,0,0,0,61.68
Only God Forgives,2013,5,May,4.8,10.34,12.21,18.5,25.0,0,0.0,0,0,0,Mid-size Studio,Other,0,0,0,27.22
The World Is Not Enough,1999,11,November,135.0,361.83,233.19,97.1,0.0,1,0.0,1,0,0,Mid-size Studio,Action,0,0,0,138.01
Brazil,1985,2,February,15.0,,32.14,15.2,15.0,0,,0,0,0,Mid-size Studio,Comedy,0,0,0,42.13
Crank: High Voltage,2009,4,April,20.0,34.56,65.94,32.6,15.0,0,0.0,0,0,0,Mid-size Studio,Action,1,0,0,77.66
The Road to El Dorado,2000,3,March,95.0,76.43,160.17,95.8,0.0,1,1.0,1,1,0,Major Studio,Animation,0,0,0,51.75
National Lampoon’s Van Wilder,2002,3,March,5.0,38.28,103.87,83.0,0.0,0,0.0,1,0,0,Mid-size Studio,Comedy,0,0,0,193.2
The Bounty Hunter,2010,3,March,40.0,136.0,130.15,93.2,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,181.41
Modern Times,1936,2,February,0.0,8.5,0.29,5.4,25.0,0,0.0,0,0,0,Mid-size Studio,Comedy,0,0,0,51.75
Bride Wars,2009,1,January,30.0,114.66,79.09,78.4,20.0,1,0.0,1,0,0,Mid-size Studio,Comedy,0,0,0,81.12
Deep Impact,1998,5,May,75.0,140.46,226.51,96.5,25.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,55.71
Daddy's Home,2015,12,December,50.0,242.79,136.29,91.9,0.0,1,0.0,1,1,0,Major Studio,Comedy,0,0,0,61.49
Young Frankenstein,1974,12,December,2.8,86.27,34.53,32.1,0.0,1,0.0,0,1,0,Major Studio,Comedy,0,0,0,55.09
Ride Along,2014,1,January,25.0,154.0,91.8,78.7,20.0,1,0.0,1,1,0,Major Studio,Action,1,0,0,131.18
Johnny English,2003,4,April,40.0,160.58,151.45,90.8,0.0,1,0.0,1,1,0,Major Studio,Action,1,0,0,35.4
Lawrence of Arabia,1962,12,December,15.0,70.0,67.57,46.7,40.0,1,0.0,0,0,0,Mid-size Studio,Other,0,0,0,57.45
How to Lose a Guy in 10 Days,2003,2,February,50.0,177.37,168.27,90.6,0.0,1,0.0,1,1,0,Major Studio,Comedy,0,0,0,64.29
Water for Elephants,2011,3,March,38.0,114.16,128.51,83.1,25.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,709.58
Beastly,2011,1,January,17.0,43.17,25.01,22.9,60.0,0,0.0,0,0,0,Mid-size Studio,Other,0,0,0,5.31
Eastern Promises,2007,9,September,51.5,55.11,75.3,78.3,20.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,22.79
The Addams Family,1991,11,November,30.0,191.5,113.87,86.4,0.0,1,0.0,1,1,0,Major Studio,Comedy,0,0,0,333.49
Tucker and Dale vs Evil,2010,1,January,5.0,5.48,13.87,14.4,20.0,0,0.0,0,0,0,Mid-size Studio,Comedy,0,0,0,51.75
High School Musical 2,2007,8,August,,7.0,37.96,34.1,25.0,0,,0,0,0,Mid-size Studio,Comedy,0,0,0,39.51
Mr. Peabody & Sherman,2014,2,February,145.0,272.91,251.51,95.7,0.0,1,0.0,1,1,0,Major Studio,Animation,1,0,0,195.07
The Pacifier,2005,3,March,56.0,113.01,144.14,95.4,25.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,108.65
Beowulf,2007,11,November,70.0,195.74,200.31,96.1,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,282.91
The Wave,2008,3,March,7.5,19.0,30.27,9.7,25.0,0,0.0,0,0,0,Mid-size Studio,Other,0,0,0,51.75
Air Force One,1997,7,July,85.0,315.16,248.27,97.2,0.0,1,0.0,1,0,0,Mid-size Studio,Action,0,0,0,216.64
Scream 2,1997,12,December,24.0,172.36,119.08,88.4,0.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,65.83
Tinker Tailor Soldier Spy,2011,9,September,30.0,,33.04,40.6,45.0,0,,0,0,0,Mid-size Studio,Other,0,0,0,51.75
Army of Darkness,1992,10,October,11.0,,42.77,41.1,15.0,0,,0,1,0,Major Studio,Comedy,0,0,0,291.34
You've Got Mail,1998,12,December,65.0,250.82,225.17,94.9,0.0,1,0.0,1,1,0,Major Studio,Comedy,0,0,0,129.54
Jennifer's Body,2009,9,September,16.0,31.56,80.75,50.1,35.0,0,0.0,1,0,0,Mid-size Studio,Comedy,1,0,0,52.3
The Boondock Saints,1999,1,January,6.0,0.03,15.76,21.5,20.0,0,1.0,0,0,0,Mid-size Studio,Action,1,0,0,10.63
RockNRolla,2008,9,September,18.0,25.74,38.55,25.6,35.0,0,0.0,0,1,0,Major Studio,Action,0,0,0,175.81
Rocky Balboa,2006,12,December,24.0,155.72,99.02,90.1,25.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,274.47
Inside Llewyn Davis,2013,10,October,11.0,32.94,38.96,44.8,40.0,0,0.0,0,0,0,Mid-size Studio,Other,0,0,0,115.08
Inherent Vice,2014,12,December,20.0,11.11,27.02,32.4,40.0,0,1.0,0,1,0,Major Studio,Comedy,0,0,0,42.8
Patch Adams,1998,12,December,50.0,202.29,159.17,92.4,25.0,1,0.0,1,1,0,Major Studio,Comedy,0,0,0,187.81
The Break-Up,2006,6,June,52.0,205.0,174.71,94.7,0.0,1,0.0,1,1,0,Major Studio,Comedy,0,0,0,278.58
Premium Rush,2012,8,August,35.0,31.08,50.87,38.8,0.0,0,1.0,0,0,0,Mid-size Studio,Action,1,0,0,48.15
A History of Violence,2005,9,September,32.0,60.74,49.89,61.7,45.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,21.66
The Final Destination,2009,8,August,40.0,186.17,152.79,85.4,0.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,54.75
Spirit: Stallion of the Cimarron,2002,5,May,80.0,122.56,168.86,93.2,25.0,1,0.0,1,1,0,Major Studio,Animation,0,0,0,51.75
Kung Fu Hustle,2004,2,February,20.0,100.91,68.76,57.5,15.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,45.04
Dark City,1998,2,February,27.0,27.2,31.95,50.4,0.0,0,0.0,1,1,0,Major Studio,Other,0,0,0,186.84
Cruel Intentions,1999,3,March,10.5,75.9,64.52,65.5,40.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,54.02
Buried,2010,9,September,1.99,19.15,15.06,10.8,45.0,0,0.0,0,0,0,Mid-size Studio,Other,1,0,0,13.55
The Fountain,2006,9,September,35.0,15.3,37.6,58.3,45.0,0,1.0,1,1,0,Major Studio,Other,0,0,0,149.15
The Bone Collector,1999,11,November,73.0,151.49,187.98,96.0,25.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,129.18
Blackhat,2015,1,January,70.0,17.75,66.85,88.9,45.0,0,1.0,1,1,0,Major Studio,Other,0,0,0,131.08
Magnolia,1999,12,December,37.0,48.45,105.77,68.5,25.0,0,0.0,1,1,0,Major Studio,Other,0,0,0,35.34
The Girl Next Door,2004,4,April,25.0,30.41,74.35,62.0,0.0,0,0.0,1,0,0,Mid-size Studio,Comedy,0,0,0,93.77
Colombiana,2011,7,July,40.0,60.97,63.97,76.7,25.0,1,0.0,1,0,0,Mid-size Studio,Action,0,0,0,350.96
Safe Haven,2013,2,February,28.0,97.59,61.47,67.9,0.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,66.36
Concussion,2015,11,November,35.0,50.36,65.74,56.8,25.0,0,0.0,1,1,0,Major Studio,Other,0,0,0,51.75
Dogma,1999,11,November,10.0,30.65,42.16,37.0,15.0,0,0.0,0,0,0,Mid-size Studio,Comedy,1,0,0,21.47
Remember the Titans,2000,9,September,30.0,136.71,84.26,72.3,45.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,42.16
Saw V,2008,10,October,10.8,113.86,70.59,70.0,15.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,51.75
Scooby-Doo,2002,6,June,84.0,275.65,207.1,95.7,0.0,1,0.0,1,1,0,Major Studio,Comedy,0,0,0,283.18
Garfield,2004,6,June,50.0,200.8,141.29,86.0,0.0,1,0.0,1,1,0,Major Studio,Animation,0,0,0,12.51
The Brothers Grimm,2005,8,August,88.0,105.32,142.39,96.4,0.0,1,0.0,1,1,0,Major Studio,Action,1,0,0,32.86
Into the Storm,2014,8,August,50.0,160.6,95.43,74.7,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,157.89
The Prince of Egypt,1998,12,December,70.0,218.61,168.62,94.2,25.0,1,0.0,1,1,0,Major Studio,Animation,0,0,0,81.36
The Virgin Suicides,1999,4,April,6.0,10.41,16.96,21.1,25.0,0,0.0,0,0,0,Mid-size Studio,Other,0,0,0,90.1
Selma,2014,12,December,20.0,66.79,44.43,46.5,40.0,1,0.0,0,0,0,Mid-size Studio,Other,0,0,0,51.75
Devil,2010,1,January,10.0,33.58,84.77,43.9,35.0,0,0.0,0,1,0,Major Studio,Other,0,0,0,45.12
The Reader,2008,12,December,32.0,113.02,79.3,75.3,25.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,68.95
Lethal Weapon 3,1992,5,May,35.0,321.73,176.88,91.9,0.0,1,0.0,1,1,0,Major Studio,Action,1,0,0,98.24
Closer,2004,12,December,27.0,115.51,105.61,80.5,25.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,71.96
The Abyss,1989,8,August,70.0,90.0,116.52,90.9,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,965.59
Fantasia,1940,11,November,2.28,83.32,82.37,72.4,0.0,1,0.0,1,1,0,Major Studio,Animation,0,0,0,226.19
Catwoman,2004,7,July,100.0,82.1,98.91,94.7,0.0,1,1.0,1,1,0,Major Studio,Action,0,1,0,51.75
Some Like It Hot,1959,3,March,2.88,25.0,15.25,13.3,0.0,0,0.0,0,0,0,Mid-size Studio,Comedy,0,0,0,18.0
Clueless,1995,7,July,12.0,,47.9,31.4,40.0,0,,0,1,0,Major Studio,Comedy,0,0,0,27.09
Safe,2012,4,April,30.0,40.35,35.55,21.5,0.0,0,0.0,0,0,0,Mid-size Studio,Action,0,0,0,90.34
Last Vegas,2013,10,October,28.0,134.4,70.89,71.5,0.0,1,0.0,1,0,0,Mid-size Studio,Comedy,0,0,0,187.87
Willy Wonka & the Chocolate Factory,1971,6,June,3.0,4.0,21.35,33.0,0.0,0,0.0,0,1,0,Major Studio,Other,0,0,0,51.75
The Time Traveler's Wife,2009,8,August,39.0,101.23,90.82,89.8,25.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,166.24
Almost Famous,2000,9,September,60.0,47.38,74.42,72.6,45.0,0,1.0,1,1,0,Major Studio,Other,0,0,0,135.06
Triple 9,2016,2,February,20.0,12.64,23.88,15.4,15.0,0,1.0,0,0,0,Mid-size Studio,Action,0,0,0,16.34
August Rush,2007,11,November,25.0,66.12,67.25,76.2,25.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,51.75
Movie 43,2013,1,January,6.0,32.44,38.13,34.8,20.0,0,0.0,0,0,0,Mid-size Studio,Comedy,1,0,0,46.68
Zoolander 2,2016,2,February,50.0,55.97,82.88,80.8,0.0,1,0.0,1,0,0,Mid-size Studio,Comedy,0,0,0,134.95
Revolutionary Road,2008,12,December,35.0,75.23,80.91,81.2,25.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,439.72
Letters to Juliet,2010,5,May,30.0,,62.79,44.4,25.0,0,,0,0,0,Mid-size Studio,Comedy,0,0,0,105.56
Shakespeare in Love,1998,12,December,25.0,289.32,132.51,89.1,25.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,82.64
Boogie Nights,1997,9,September,15.0,43.1,52.18,16.0,60.0,0,0.0,0,1,0,Major Studio,Other,0,0,0,36.41
Poltergeist,1982,6,June,10.7,122.2,82.91,72.1,15.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,14.59
Hotel Rwanda,2004,9,September,17.5,38.0,49.54,23.6,60.0,0,0.0,0,0,0,Mid-size Studio,Other,0,0,0,51.75
Scary Movie 5,2013,4,April,20.0,78.38,75.74,47.6,15.0,1,0.0,0,0,0,Mid-size Studio,Comedy,1,0,0,47.86
Master and Commander: The Far Side of the World,2003,11,November,150.0,212.01,170.61,96.5,0.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,189.56
ParaNorman,2012,8,August,60.0,107.14,112.12,88.4,0.0,1,0.0,1,0,0,Mid-size Studio,Animation,1,0,0,51.75
Paul Blart: Mall Cop,2009,1,January,26.0,183.29,122.14,90.8,20.0,1,0.0,1,1,0,Major Studio,Action,1,0,0,133.46
42,2013,4,April,40.0,95.02,83.3,82.3,25.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,83.41
The Longest Yard,2005,5,May,82.0,190.32,140.18,96.6,25.0,1,0.0,1,1,0,Major Studio,Comedy,0,0,0,129.3
Point Break,2015,12,December,105.0,133.72,91.19,91.1,0.0,1,0.0,1,0,0,Mid-size Studio,Action,0,0,0,51.75
Rush Hour 3,2007,8,August,140.0,258.02,169.78,94.2,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,245.59
The Scorpion King,2002,4,April,60.0,165.33,128.52,95.8,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,212.89
Zathura: A Space Adventure,2005,11,November,65.0,64.32,92.95,89.9,0.0,1,1.0,1,0,0,Mid-size Studio,Other,0,0,0,470.91
No Escape,2015,8,August,5.0,54.42,23.77,36.4,0.0,1,0.0,0,0,0,Mid-size Studio,Action,0,0,0,38.18
The Assassination of Jesse James by the Coward Robert Ford,2007,9,September,30.0,14.71,39.3,43.6,45.0,0,1.0,0,1,0,Major Studio,Action,0,0,0,37.93
The Life Aquatic with Steve Zissou,2004,12,December,50.0,34.81,87.13,55.4,25.0,0,1.0,1,0,0,Mid-size Studio,Comedy,0,0,0,63.07
Pandorum,2009,9,September,33.0,20.65,15.01,8.0,20.0,0,1.0,0,0,0,Mid-size Studio,Action,0,0,0,29.0
Along Came Polly,2004,1,January,42.0,171.96,73.41,85.6,20.0,1,0.0,1,0,0,Mid-size Studio,Comedy,0,0,0,91.64
Akira,1988,7,July,8.0,0.55,22.56,19.3,0.0,0,1.0,0,0,0,Mid-size Studio,Animation,0,0,0,51.75
Flightplan,2005,9,September,55.0,223.39,81.21,88.9,45.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,141.81
Killers,2010,6,June,75.0,98.16,121.09,95.4,0.0,1,0.0,1,0,0,Mid-size Studio,Action,0,0,0,117.73
The Thin Red Line,1998,12,December,52.0,98.13,100.78,79.9,25.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,42.61
Contraband,2012,1,January,25.0,63.1,41.87,60.0,45.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,167.68
S.W.A.T.,2003,8,August,80.0,116.64,116.94,93.4,0.0,1,0.0,1,0,0,Mid-size Studio,Action,0,0,0,77.92
30 Days of Night,2007,10,October,30.0,75.51,80.56,88.2,0.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,352.76
Lethal Weapon 4,1998,7,July,140.0,285.44,158.17,95.8,0.0,1,0.0,1,1,0,Major Studio,Action,0,0,0,101.87
The Talented Mr. Ripley,1999,12,December,40.0,128.8,108.93,89.2,25.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,202.49
The Punisher,2004,4,April,33.0,54.7,55.05,82.5,25.0,1,0.0,1,1,0,Major Studio,Action,0,1,0,51.75
Savages,2012,7,July,45.0,82.97,48.63,77.7,25.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,99.59
The Bélier Family,2014,12,December,11.0,,42.87,23.6,40.0,0,,0,0,0,Mid-size Studio,Comedy,0,0,0,51.75
"As Above, So Below",2014,8,August,5.0,40.1,44.08,26.1,0.0,0,0.0,0,1,0,Major Studio,Other,0,0,0,42.95
The Best of Me,2014,10,October,26.0,35.93,45.65,31.2,25.0,0,0.0,0,0,0,Mid-size Studio,Other,0,0,0,51.75
Jarhead,2005,11,November,72.0,96.89,120.49,95.1,25.0,1,0.0,1,1,0,Major Studio,Other,0,0,0,436.11
St. Vincent,2014,10,October,13.0,54.84,41.75,49.1,15.0,1,0.0,0,0,0,Mid-size Studio,Comedy,0,0,0,51.75
From Russia with Love,1963,10,October,2.0,78.9,23.57,63.1,0.0,1,0.0,1,0,0,Mid-size Studio,Action,1,0,0,68.67
Gamer,2009,9,September,50.0,40.83,36.82,26.4,20.0,0,1.0,0,0,0,Mid-size Studio,Action,0,0,0,75.57
The Ninth Gate,1999,8,August,38.0,58.4,78.7,83.7,0.0,1,0.0,1,0,0,Mid-size Studio,Other,0,0,0,56.68
The Little Prince,2015,7,July,64.0,97.57,59.39,73.1,0.0,1,0.0,1,0,0,Mid-size Studio,Animation,0,0,0,631.74
Happy Gilmore,1996,2,February,12.0,41.21,83.22,64.8,15.0,0,0.0,1,1,0,Major Studio,Comedy,0,0,0,191.25
Clerks,1994,9,September,0.03,3.15,13.47,7.1,20.0,0,0.0,0,0,0,Mid-size Studio,Comedy,1,0,0,24.22
