budget,homepage,id,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count,genres_list,keywords_list,studios_list,actor_1,actor_2,actor_3,director,has_tagline,release_year,release_month
60000.0,http://www.blairwitch.com/,2667,en,The Blair Witch Project,"In October of 1994 three student filmmakers disappeared in the woods near Burkittsville, Maryland, while shooting a documentary. A year later their footage was found.",41.690578,1999-07-14,248000000.0,81.0,Released,The scariest movie of all time is a true story.,The Blair Witch Project,6.3,1055,Horror|Mystery,witch|voodoo|legend|sorcery|maryland|forest|footage|horror|true|student|lost|found footage|film,Artisan Entertainment|Haxan Films,Michael C. Williams,Heather Donahue,Joshua Leonard,Daniel Myrick,1,1999,7
90000000.0,,5175,en,Rush Hour 2,"It's vacation time for Carter as he finds himself alongside Lee in Hong Kong wishing for more excitement. While Carter wants to party and meet the ladies, Lee is out to track down a Triad gang lord who may be responsible for killing two men at the American Embassy. Things get complicated as the pair stumble onto a counterfeiting plot. The boys are soon up to their necks in fist fights and life-threatening situations. A trip back to the U.S. may provide the answers about the bombing, the counterfeiting, and the true allegiance of sexy customs agent Isabella.",35.814765,2001-08-03,347325802.0,90.0,Released,Get ready for a second Rush!,Rush Hour 2,6.4,1054,Action|Comedy|Crime|Thriller,duringcreditsstinger,New Line Cinema,Chris Tucker,Jackie Chan,Zhang Ziyi,Brett Ratner,1,2001,8
80000000.0,http://getsmartmovie.warnerbros.com/,11665,en,Get Smart,"When the identities of secret agents from Control are compromised, the Chief promotes hapless but eager analyst Maxwell Smart and teams him with stylish, capable Agent 99, the only spy whose cover remains intact. Can they work together to thwart the evil plans of KAOS and its crafty operative?",23.496054,2008-06-19,230685453.0,110.0,Released,Saving The World...And Loving It!,Get Smart,6.0,1051,Action|Comedy|Thriller,dancing|spy|terrorist|traitor|airplane|violin|based on tv series|legs,Village Roadshow Pictures|Atlas Entertainment|Mosaic Media Group|Mad Chance|Warner Bros.|WV Films IV|Mel's Cite du Cinema|Callahan Filmworks,Steve Carell,Anne Hathaway,Dwayne Johnson,Peter Segal,1,2008,6
5000000.0,,157547,en,Oculus,A woman tries to exonerate her brother's murder conviction by proving that the crime was committed by a supernatural phenomenon.,35.871248,2013-09-08,44030246.0,104.0,Released,You see what it wants you to see,Oculus,6.3,1050,Horror,hallucination|supernatural|mirror|skepticism|ghost,Intrepid Pictures|Blumhouse Productions|Relativity Media|WWE Studios|MICA Entertainment,Karen Gillan,Brenton Thwaites,Katee Sackhoff,Mike Flanagan,1,2013,9
10000000.0,,1542,en,Office Space,Three office workers strike back at their evil employers by hatching a hapless attempt to embezzle money.,18.366362,1999-02-19,12827813.0,89.0,Released,Work sucks.,Office Space,7.4,1050,Comedy|Crime,suburbia|downsizing|software engineer|burnout|dallas texas|beach resort|coworker relationship|laziness|duringcreditsstinger|business rivalry,Twentieth Century Fox Film Corporation|Cubicle Inc.,Ron Livingston,Jennifer Aniston,David Herman,Mike Judge,1,1999,2
15000000.0,http://www.warnerbros.fr/the-artist,74643,en,The Artist,"Hollywood, 1927: As silent movie star George Valentin wonders if the arrival of talking pictures will cause him to fade into oblivion, he sparks with Peppy Miller, a young dancer set for a big break.",29.943316,2011-05-15,133432856.0,100.0,Released,A Breath Of Fresh Vintage Air,The Artist,7.3,1049,Drama|Comedy|Romance,film producer|film history|movie studio|hollywood|dog|mustache|hollywoodland|silent film|marquee|terrier|movie star|flapper|silent film star,France 3 Cinéma|La Petite Reine|Studio 37|uFilm|Jouror Productions|La Classe Américaine|JD Prod,Jean Dujardin,Bérénice Bejo,John Goodman,Michel Hazanavicius,1,2011,5
5000000.0,https://www.facebook.com/GIFTmovie,328425,en,The Gift,"A husband and wife try to reinvigorate their relationship but their lives are threatened by a ""friend"" from the husband's past who holds a horrifying secret about him, sending their world into a tailspin.",27.247013,2015-07-30,58978653.0,108.0,Released,Not every gift is welcome.,The Gift,6.7,1049,Thriller|Mystery,detective|stalker|gift|bully|psychological thriller,Blumhouse Productions|Blue-Tongue Films|Huayi Brothers Media|STX Entertainment|Ahimsa Films,Jason Bateman,Rebecca Hall,Joel Edgerton,Joel Edgerton,1,2015,7
30000000.0,,4347,en,Atonement,"As a 13-year-old, fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.",33.369305,2007-08-29,129266061.0,123.0,Released,Torn apart by betrayal. Separated by war. Bound by love.,Atonement,7.4,1049,Drama|Romance,based on novel|sister sister relationship|flirt|loss of sister|new love|world war ii|book|mistake|innocence|author|redemption|summer,Universal Pictures|Studio Canal|Relativity Media|Working Title Films,Keira Knightley,James McAvoy,Romola Garai,Joe Wright,1,2007,8
90000000.0,http://www.youdontmesswiththezohan.com/,10661,en,You Don't Mess with the Zohan,An Israeli counterterrorism soldier with a secretly fabulous ambition to become a Manhattan hairstylist. Zohan's desire runs so deep that he'll do anything -- including faking his own death and going head-to-head with an Arab cab driver -- to make his dreams come true.,40.597344,2008-06-05,201596308.0,113.0,Released,Lather. Rinse. Save the world.,You Don't Mess with the Zohan,5.5,1048,Comedy|Action,new york|israel|middle east|hairdresser|ladykiller|mossad|israeli|palestinian|heart-throb|middle east conflict|hairstyle|hacky sack,Columbia Pictures|Happy Madison Productions|Sony Pictures Releasing|Relativity Media,Adam Sandler,John Turturro,Emmanuelle Chriqui,Dennis Dugan,1,2008,6
2500000.0,http://spectacularnowmovie.com/,157386,en,The Spectacular Now,"A hard-partying high school senior's philosophy on life changes when he meets the not-so-typical ""nice girl.""",25.722747,2013-08-02,6854611.0,95.0,Released,From the Writers of (500) Days of Summer,The Spectacular Now,6.8,1048,Comedy|Drama|Romance,alcoholism|coming of age|teenager|high school student|based on young adult novel,21 Laps Entertainment|Andrew Lauren Productions (ALP)|Global Produce|A24,Miles Teller,Shailene Woodley,Brie Larson,James Ponsoldt,1,2013,8
1000000.0,,277685,en,Unfriended,"While video chatting one night, six high school friends receive a Skype message from a classmate who killed herself exactly one year ago. A first they think it's a prank, but when the girl starts revealing the friends' darkest secrets, they realize they are dealing with something out of this world, something that wants them dead. Told entirely from a young girl's computer desktop, Unfriended redefines 'found footage' for a new generation of teens.",41.972329,2015-04-17,62882090.0,82.0,Released,"Online, your memories last forever. But so do your mistakes.",Unfriended,5.5,1047,Horror|Thriller,computer|bullying|revenge|internet|teenager|violence|internet chat|humiliation|death|extramarital affair|vengeful ghost|computer screen|ghost|one night|found footage|skype|facebook|blender,Bazelevs Production|Blumhouse Productions,Shelley Hennig,Moses Jacob Storm,Renee Olstead,Levan Gabriadze,1,2015,4
22000000.0,,581,en,Dances with Wolves,"Wounded Civil War soldier, John Dunbar tries to commit suicide – and becomes a hero instead. As a reward, he's assigned to his dream post, a remote junction on the Western frontier, and soon makes unlikely friends with the local Sioux tribe.",45.707835,1990-11-09,424208848.0,181.0,Released,Inside everyone is a frontier waiting to be discovered.,Dances with Wolves,7.6,1046,Adventure|Drama|Western,countryside|based on novel|suicide attempt|culture clash|loss of family|deserter|interpreter|language barrier|self-discovery|dakota|buffalo|chief|unsociability|freedom|native american|19th century|lakota,Tig Productions|Majestic Films International,Kevin Costner,Mary McDonnell,Graham Greene,Kevin Costner,1,1990,11
40000000.0,http://www.themechanicmovie.com/,27582,en,The Mechanic,"Arthur Bishop is a 'mechanic' - an elite assassin with a strict code and unique talent for cleanly eliminating targets. It's a job that requires professional perfection and total detachment, and Bishop is the best in the business. But when he is ordered to take out his mentor and close friend Harry, Bishop is anything but detached.",44.094856,2011-01-13,51070807.0,93.0,Released,Someone has to fix the problems.,The Mechanic,6.3,1045,Action|Thriller|Crime,poison|chicago|prostitute|martial arts|assassin|airport|cemetery|boat|hitman|chase|machinegun|cover-up|beautiful woman|car crash,CBS Films|Millennium Films|Chartoff-Winkler Productions|Scared Productions|Nu Image Entertainment GmbH,Jason Statham,Ben Foster,Donald Sutherland,Simon West,1,2011,1
80000000.0,,10200,en,The Day the Earth Stood Still,"A representative of an alien race that went through drastic evolution to survive its own climate change, Klaatu comes to Earth to assess whether humanity can prevent the environmental damage they have inflicted on their own planet. When barred from speaking to the United Nations, he decides humankind shall be exterminated so the planet can survive.",41.890722,2008-12-10,233093859.0,104.0,Released,12.12.08 is the Day the Earth Stood Still,The Day the Earth Stood Still,5.2,1043,Drama|Science Fiction|Thriller,extraterrestrial technology|spacecraft|ultimatum|evacuation|panic|government|remake|ufo|alien|end of the world|giant robot|tank|social commentary|power outage|interrogation|environmentalism|threat|alien contact|central park|messenger|nanobots|disintegration,Twentieth Century Fox Film Corporation|Dune Entertainment III|Earth Canada Productions|Hammerhead Productions|3 Arts Entertainment,Keanu Reeves,Jennifer Connelly,Kathy Bates,Scott Derrickson,1,2008,12
7000000.0,http://magicmikemovie.warnerbros.com,77930,en,Magic Mike,"Mike, an experienced stripper, takes a younger performer called The Kid under his wing and schools him in the arts of partying, picking up women, and making easy money.",35.897151,2012-06-28,167221571.0,110.0,Released,Work all day. Work it all night.,Magic Mike,6.1,1040,Drama|Comedy,dancing|florida|strip club|male stripper|novice,Extension 765|Iron Horse Entertainment (II),Channing Tatum,Matthew McConaughey,Alex Pettyfer,Steven Soderbergh,1,2012,6
18339750.0,http://www.downfallthefilm.com/,613,de,Der Untergang,"In April of 1945, Germany stands at the brink of defeat with the Russian Army closing in from the east and the Allied Expeditionary Force attacking from the west. In Berlin, capital of the Third Reich, Adolf Hitler proclaims that Germany will still achieve victory and orders his generals and advisers to fight to the last man. When the end finally does come, and Hitler lies dead by his own hand, what is left of his military must find a way to end the killing that is the Battle of Berlin, and lay down their arms in surrender.",32.445895,2004-09-08,92180910.0,156.0,Released,"April 1945, a nation awaits its...Downfall",Downfall,7.7,1037,Drama|History|War,berlin|poison|dictator|clerk|ideology|world war ii|traitor|despair|destroy|testament|capitulation|soviet troops|race politics|national socialism|adolf hitler|ultimate victory|minister|national socialist party|dying and death|historical figure|german shepherd,Degeto Film|EOS Entertainment|Rai Cinema|Österreichischer Rundfunk (ORF)|Constantin Film Produktion|Westdeutscher Rundfunk (WDR)|Norddeutscher Rundfunk (NDR),Bruno Ganz,Alexandra Maria Lara,Corinna Harfouch,Oliver Hirschbiegel,1,2004,9
300000.0,http://www.theofficialjohncarpenter.com/halloween/,948,en,Halloween,"In John Carpenter's horror classic, a psychotic murderer, institutionalized since childhood for the murder of his sister, escapes and stalks a bookish teenage girl and her friends while his doctor chases him through the streets.",30.301307,1978-10-25,70000000.0,91.0,Released,The Night He Came Home,Halloween,7.4,1035,Horror|Thriller,female nudity|nudity|mask|babysitter|halloween|police|psychopathic killer|independent film|stalking|serial killer|marijuana|masked killer|blood|pot smoking|slasher|murderer|throat slitting|maniac|violence|killing spree|family|cult film|evil|psychotic|smoking pot|institution|escaped killer,Compass International Pictures|Falcon International Productions,Donald Pleasence,Jamie Lee Curtis,P.J. Soles,John Carpenter,1,1978,10
79000000.0,http://www.themysteriousisland.com/,72545,en,Journey 2: The Mysterious Island,"Sean Anderson partners with his mom's boyfriend on a mission to find his grandfather, who is thought to be missing on a mythical island.",40.723459,2012-01-19,355692760.0,94.0,Released,Believe the Impossible. Discover the Incredible.,Journey 2: The Mysterious Island,5.8,1030,Adventure|Action|Science Fiction,mission|mysterious island|missing person|duringcreditsstinger|3d,New Line Cinema|Contrafilm|Walden Media,Dwayne Johnson,Josh Hutcherson,Kristin Davis,Brad Peyton,1,2012,1
26000000.0,,9358,en,Final Destination 2,"When Kimberly has a violent premonition of a highway pileup she blocks the freeway, keeping a few others meant to die, safe...Or are they? The survivors mysteriously start dying and it's up to Kimberly to stop it before she's next.",37.355826,2003-01-31,90426405.0,90.0,Released,Death is like a boomerang. it keeps coming back,Final Destination 2,5.9,1023,Horror|Mystery,ambulance|premonition|hospital,New Line Cinema|Zide-Perry Productions,Ali Larter,A.J. Cook,Michael Landes,David R. Ellis,1,2003,1
37000000.0,,9880,en,The Princess Diaries,"A socially awkward but very bright 15-year-old girl being raised by a single mom discovers that she is the princess of a small European country because of the recent death of her long-absent father, who, unknown to her, was the crown prince of Genovia. She must make a choice between continuing the life of a San Francisco teen or stepping up to the throne.",40.176265,2001-08-03,165335153.0,115.0,Released,She rocks. She rules. She reigns.,The Princess Diaries,6.5,1023,Comedy|Family|Romance,heir to the throne|grandmother granddaughter relationship|high school|princess|royalty|teenager|popularity|social outcast|based on young adult novel,Walt Disney Pictures|BrownHouse Productions|Bottom of the Ninth Productions,Anne Hathaway,Julie Andrews,Heather Matarazzo,Garry Marshall,1,2001,8
4000000.0,http://www.theboynextdoorfilm.com/,241251,en,The Boy Next Door,"A recently cheated on married woman falls for a younger man who has moved in next door, but their torrid affair soon takes a dangerous turn.",24.161735,2015-01-23,52425855.0,91.0,Released,A Moment She Couldn't Resist. An Obsession He Can't Control.,The Boy Next Door,4.1,1022,Thriller,male nudity|female nudity|sex|adultery|infidelity|obsession|blackmail|villain|hidden camera|blind date|death of a friend|insanity|high school|stalker|sociopath|unrequited love|neighbor|unfaithfulness|los angeles|principal|car accident|violence|sex scene|extramarital affair|tied up|car explosion|high school teacher|fatal attraction|mother son relationship|older woman younger man relationship|critically bashed|loss of friend|woman in jeopardy|crying woman|damsel in distress|erotic thriller|muscular,Universal Pictures|Nuyorican Productions|Blumhouse Productions|Smart Entertainment,Jennifer Lopez,Ryan Guzman,Ian Nelson,Rob Cohen,1,2015,1
55000000.0,,1924,en,Superman,"Mild-mannered Clark Kent works as a reporter at the Daily Planet alongside his crush, Lois Lane − who's in love with Superman. Clark must summon his superhero alter ego when the nefarious Lex Luthor launches a plan to take over the world.",48.507081,1978-12-13,300218018.0,143.0,Released,You'll Believe a Man Can Fly!,Superman,6.9,1022,Action|Adventure|Fantasy|Science Fiction,saving the world|journalist|dc comics|crime fighter|nuclear missile|galaxy|superhero|based on comic book|criminal|sabotage|north pole|midwest|kryptonite|super powers|superhuman strength|aftercreditsstinger|save the day,Warner Bros.|Dovemead Films|Film Export A.G.,Christopher Reeve,Marlon Brando,Margot Kidder,Richard Donner,1,1978,12
73000000.0,http://www.angrybirds-movie.com/en/,153518,en,The Angry Birds Movie,"An island populated entirely by happy, flightless birds or almost entirely. In this paradise, Red, a bird with a temper problem, speedy Chuck, and the volatile Bomb have always been outsiders. But when the island is visited by mysterious green piggies, it’s up to these unlikely outcasts to figure out what the pigs are up to.",45.720894,2016-05-11,349779543.0,97.0,Released,Why so angry?,The Angry Birds Movie,5.9,1022,Family|Animation,island|bird|pig|talking animal|based on video game|anger management|3d,Columbia Pictures|Rovio Entertainment|Sony Pictures Imageworks (SPI)|Rovio Mobile|Rovio Animation,Jason Sudeikis,Josh Gad,Danny McBride,Fergal Reilly,1,2016,5
15000000.0,,5038,en,Vicky Cristina Barcelona,"Two girlfriends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture.",32.758254,2008-08-15,96408652.0,96.0,Released,Life is the ultimate work of art,Vicky Cristina Barcelona,6.7,1020,Drama|Romance,barcelona spain|menage a trois|author,The Weinstein Company|Gravier Productions|Antena 3 Films|Televisió de Catalunya (TV3)|Antena 3 Televisión|Mediapro,Scarlett Johansson,Rebecca Hall,Javier Bardem,Woody Allen,1,2008,8
170000000.0,,8487,en,Wild Wild West,Legless Southern inventor Dr. Arliss Loveless plans to rekindle the Civil War by assassinating President U.S. Grant. Only two men can stop him: gunfighter James West and master-of-disguise and inventor Artemus Gordon. The two must team up to thwart Loveless' plans.,40.748915,1999-06-29,222104681.0,106.0,Released,It's a whole new west.,Wild Wild West,5.1,1020,Action|Adventure|Comedy|Science Fiction|Western,steampunk|based on tv series|steam locomotive|drag,"Todman, Simon, LeMasters Productions|Warner Bros.|Peters Entertainment|Sonnenfeld Josephson Worldwide Entertainment",Will Smith,Kevin Kline,Kenneth Branagh,Barry Sonnenfeld,1,1999,6
50000000.0,,8839,en,Casper,"Furious that her late father only willed her his gloomy-looking mansion rather than his millions, Carrigan Crittenden is ready to burn the place to the ground when she discovers a map to a treasure hidden in the house. But when she enters the rickety mansion to seek her claim, she is frightened away by a wicked wave of ghosts. Determined to get her hands on this hidden fortune, she hires afterlife therapist Dr. James Harvey to exorcise the ghosts from the mansion. Harvey and his daughter Kat move in, and soon Kat meets Casper, the ghost of a young boy who's ""the friendliest ghost you know."" But not so friendly are Casper's uncles--Stretch, Fatso and Stinkie--who are determined to drive all ""fleshies"" away.",19.830132,1995-05-26,287928194.0,100.0,Released,Get an afterlife,Casper,6.0,1019,Fantasy|Comedy|Family,halloween|friendship|supernatural|afterlife|friends|danger|ghost|disorder|young heroes|imaginary|supernatural ability|mischievous children,Universal Pictures|Amblin Entertainment|The Harvey Entertainment Company,Christina Ricci,Bill Pullman,Cathy Moriarty,Brad Silberling,1,1995,5
11000000.0,http://www2.warnerbros.com/walktoremember/main.html,10229,en,A Walk to Remember,"When the popular, restless Landon Carter is forced to participate in the school drama production he falls in love with Jamie Sullivan, the daughter of the town's minister. Jamie has a ""to-do"" list for her life and also a very big secret she must keep from Landon.",33.283554,2002-01-25,41227069.0,101.0,Released,She didn't belong. She was misunderstood. And she would change him forever.,A Walk to Remember,7.5,1018,Drama|Romance,based on novel|theatre group|north carolina|theatre milieu|high school|cancer|coming of age|tragic love|teenager|star crossed lovers,DiNovi Pictures|Pandora Pictures|Gaylord Films|Warner Bros.,Mandy Moore,Shane West,Peter Coyote,Adam Shankman,1,2002,1
80000000.0,,13027,en,Eagle Eye,"Jerry Shaw and Rachel Holloman are two strangers whose lives are suddenly thrown into turmoil by a mysterious woman they have never met. Threatening their lives and family, the unseen caller uses everyday technology to control their actions and push them into increasing danger. As events escalate, Jerry and Rachel become the country's most-wanted fugitives and must figure out what is happening to them.",46.887983,2008-09-25,178066569.0,118.0,Released,Don't walk. Run.,Eagle Eye,6.3,1018,Mystery|Thriller|Action,artificial intelligence|washington d.c.|secret identity|hostage|technology|fbi|pentagon|twin brother|fbi agent,DreamWorks SKG|K/O Paper Products|Goldcrest Pictures|KMP Film Invest,Shia LaBeouf,Michelle Monaghan,Rosario Dawson,D.J. Caruso,1,2008,9
30000000.0,http://wwws.warnerbros.de/number23/,3594,en,The Number 23,"Walter Sparrow is an animal control officer that becomes obsessed with a mysterious book that seems to be based on his own life. As soon as he opens the book, he notices strange parallels between what he reads and what he's experienced. But now he's worried that a fictional murder might materialize.",23.197408,2007-02-23,77566815.0,101.0,Released,First it takes hold of your mind...then it takes hold of your life.,The Number 23,6.3,1018,Thriller|Drama|Mystery,suicide|based on novel|hotel room|obsession|sadomasochism|psychological thriller|killer|family|numbers,New Line Cinema|Contrafilm|Firm Films,Jim Carrey,Virginia Madsen,Logan Lerman,Joel Schumacher,1,2007,2
28000000.0,http://www.dawnofthedeadmovie.net/,924,en,Dawn of the Dead,"A group of surviving people take refuge in a shopping center after the world has been over taken over by aggressive, flesh-eating zombies. A remake of the 1978 zombie film of the same name.",44.529429,2004-03-19,102356381.0,101.0,Released,"When the undead rise, civilization will fall.",Dawn of the Dead,6.8,1016,Fantasy|Horror|Action,refugee|mass murder|habor|car journey|department store|blackout|bus ride|pregnancy and birth|dying and death|bite|to shoot dead|lorry|munition|basement garage|guard|zombie|dog|car|duringcreditsstinger,New Amsterdam Entertainment|Strike Entertainment|Metropolitan Filmexport|Toho-Towa|Cruel and Unusual Films,Sarah Polley,Ving Rhames,Jake Weber,Zack Snyder,1,2004,3
52000000.0,http://www.valentinesdaymovie.com/,32856,en,Valentine's Day,"More than a dozen Angelenos navigate Valentine's Day from early morning until midnight. Three couples awake together, but each relationship will sputter; are any worth saving? A grade-school boy wants flowers for his first true love; two high school seniors plan first-time sex at noon; a TV sports reporter gets the assignment to find romance in LA; a star quarterback contemplates his future; two strangers meet on a plane; grandparents, together for years, face a crisis; and, an ""I Hate Valentine's Day"" dinner beckons the lonely and the lied to. Can Cupid finish his work by midnight?",25.41929,2010-02-10,216485654.0,125.0,Released,A Love Story. More or Less.,Valentine's Day,5.7,1013,Comedy|Romance,flower|married couple|florist|kiss|single|valentine|valentine's day|multiple storylines|aftercreditsstinger|duringcreditsstinger,New Line Cinema|Karz Entertainment|Rice Films,Jessica Alba,Jessica Biel,Bradley Cooper,Garry Marshall,1,2010,2
16500000.0,,816,en,Austin Powers: International Man of Mystery,"As a swingin' fashion photographer by day and a groovy British superagent by night, Austin Powers is the '60s' most shagadelic spy, baby! But can he stop megalomaniac Dr. Evil after the bald villain freezes himself and unthaws in the '90s? With the help of sexy sidekick Vanessa Kensington, he just might.",36.15716,1997-05-02,67683989.0,94.0,Released,"If he were any cooler, he'd still be frozen, baby!",Austin Powers: International Man of Mystery,6.5,1013,Science Fiction|Comedy|Crime,android|undercover|missile|group therapy|airplane|dancing scene|time travel|penthouse apartment|judo|trapdoor|clowning|telescope|swinging|james bond spoof|swinging 60s|aftercreditsstinger|duringcreditsstinger,New Line Cinema|Capella International|Eric's Boy,Mike Myers,Elizabeth Hurley,Michael York,Jay Roach,1,1997,5
33000000.0,,817,en,Austin Powers: The Spy Who Shagged Me,"When diabolical genius, Dr. Evil travels back in time to steal superspy Austin Powers's ‘mojo’, Austin must return to the swingin' '60s himself – with the help of American agent, Felicity Shagwell – to stop the dastardly plan. Once there, Austin faces off against Dr. Evil's army of minions and saves the world in his own unbelievably groovy way.",18.316151,1999-06-08,310940086.0,95.0,Released,"I'm back, baby!",Austin Powers: The Spy Who Shagged Me,6.2,1011,Adventure|Comedy|Crime|Science Fiction,saving the world|moon|submarine|clone|spy|cia|showdown|android|usa president|exotic island|cat|lasergun|nasa|undercover|space marine|car journey|auto|time travel|supermodel|single|aftercreditsstinger|duringcreditsstinger,New Line Cinema|Eric's Boy,Mike Myers,Heather Graham,Michael York,Jay Roach,1,1999,6
4000000.0,,703,en,Annie Hall,"In the city of New York, comedian Alvy Singer falls in love with the ditsy Annie Hall.",35.892034,1977-04-19,38251425.0,93.0,Released,A nervous romance.,Annie Hall,7.8,1010,Comedy|Drama|Romance,narration|neurosis|comedian|job interview|love|singer|jewish|breaking the fourth wall|talking to the audience|volkswagen beetle,United Artists,Woody Allen,Diane Keaton,Tony Roberts,Woody Allen,1,1977,4
45000000.0,http://www.johnnyenglishreborn.com/,58233,en,Johnny English Reborn,"The most prominent heads of state in the world begin gathering for a conference that could have a major impact on global politics. When MI-7 receives word that the Chinese premier has become the target of some high-powered killers, it falls on Johnny English to save the day. Armed with the latest high-tech weaponry and gadgets that would make even James Bond jealous, the once-disgraced agent uncovers evidence of a massive conspiracy involving some of the world's most powerful organisations, and vows to redeem his tarnished reputation by stopping the killers before they can strike.",35.6585,2011-09-15,160078586.0,101.0,Released,One man. One mission. No chance.,Johnny English Reborn,6.0,1007,Crime|Adventure|Action|Comedy|Thriller,buddhist monk|cooking|prime minister|kitchen|secret agent|sequel|mind control|james bond spoof|incompetence|female boss|klutz|aftercreditsstinger|assassination attempt,Universal Pictures,Rowan Atkinson,Dominic West,Gillian Anderson,Oliver Parker,1,2011,9
20000000.0,http://www.disturbia.com/,8271,en,Disturbia,"Kale is a 17-year-old placed under house arrest after punching his teacher. He is confined to his house, and decides to use his free time spying on his neighbors. Things start to get weird when guests enter the Turner's house and don't come back out. Kale and his friends, Ronnie and Ashley, start to grow more and more interested in what is actually happening within the house of Robert Turner.",31.690456,2007-04-12,117760134.0,105.0,Released,"The quieter the street, the darker the secrets....",Disturbia,6.6,1006,Thriller|Drama|Mystery,kidnapping|young people,"Paramount Pictures|DreamWorks SKG|Cold Spring Pictures|Montecito Picture Company, The",Shia LaBeouf,Sarah Roemer,Carrie-Anne Moss,D.J. Caruso,1,2007,4
40000000.0,,232672,en,Blended,"After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attractions grows as their respective kids benefit from the burgeoning relationship.",44.120328,2014-05-21,123494610.0,117.0,Released,"Single Dad, No Clue. Single Mum, Flying Solo.",Blended,6.6,1006,Comedy,africa|blind date|relationship|family vacation|family,Happy Madison Productions|Karz Entertainment|Warner Bros.|Gulfstream Pictures,Drew Barrymore,Adam Sandler,Wendi McLendon-Covey,Frank Coraci,1,2014,5
8000000.0,,225565,en,That Awkward Moment,"Best pals Jason and Daniel indulge in casual flings and revel in their carefree, unattached lives. After learning that the marriage of their friend Mikey is over, they gladly welcome him back into their circle. The three young men make a pact to have fun and avoid commitment. However, when all three find themselves involved in serious relationships, they must keep their romances secret from one another.",37.821106,2014-01-29,26049082.0,94.0,Released,When you realize getting some means wanting more.,That Awkward Moment,6.1,1004,Comedy|Romance,male friendship|friendship|dating|relationship|duringcreditsstinger|young adult,Treehouse Pictures,Zac Efron,Miles Teller,Michael B. Jordan,Tom Gormican,1,2014,1
27000000.0,,34584,en,The Neverending Story,"While hiding from bullies in his school's attic, a young boy discovers the extraordinary land of Fantasia, through a magical book called The Neverending Story. The book tells the tale of Atreyu, a young warrior who, with the help of a luck dragon named Falkor, must save Fantasia from the destruction of The Nothing.",47.862016,1984-04-05,20158808.0,102.0,Released,A boy who needs a friend finds a world that needs a hero in a land beyond imagination!,The NeverEnding Story,7.0,1002,Drama|Family|Fantasy|Adventure,based on novel|fictional place|wolf|mythology|magic|horse|book|fairy tale|bully|school|talking animal|reading|book store|fantasy world|giant|gnome|quest,Producers Sales Organization|Bavaria Film|Dieter Geissler Filmproduktion|Warner Bros.|Westdeutscher Rundfunk (WDR)|Bavaria Studios,Barret Oliver,Gerald McRaney,Noah Hathaway,Wolfgang Petersen,1,1984,4
4200000.0,http://tv.disney.go.com/disneychannel/originalmovies/highschoolmusical/index.html,10947,en,High School Musical,"Troy (Zac Efron), the popular captain of the basketball team, and Gabriella (Vanessa Anne Hudgens), the brainy and beautiful member of the academic club, break all the rules of East High society when they secretly audition for the leads in the school's musical. As they reach for the stars and follow their dreams, everyone learns about acceptance, teamwork, and being yourself. And it's all set to fun tunes and very cool dance moves!",16.536374,2006-01-20,,98.0,Released,This School Rocks Like No Other!,High School Musical,6.1,1000,Comedy|Drama|Family|Music|TV Movie,becoming an adult|musical|music|high school|school performance|high school sports|jock|teenager|clique|theater|peer pressure|teenage romance,Disney Channel,Zac Efron,Vanessa Hudgens,Ashley Tisdale,Kenny Ortega,1,2006,1
140000000.0,http://movies.disney.com/the-bfg,267935,en,The BFG,"The BFG is no ordinary bone-crunching giant. He is far too nice and jumbly. It's lucky for Sophie that he is. Had she been carried off in the middle of the night by the Bloodbottler, or any of the other giants—rather than the BFG—she would have soon become breakfast. When Sophie hears that the giants are flush-bunking off to England to swollomp a few nice little chiddlers, she decides she must stop them once and for all. And the BFG is going to help her!",44.19092,2016-06-01,183345589.0,120.0,Released,The world is more giant than you can imagine.,The BFG,6.0,1000,Adventure|Family|Fantasy,london england|england|based on novel|queen|little girl|orphan|cannibal|giant|evil brother,"Walt Disney Pictures|Amblin Entertainment|Reliance Entertainment|Kennedy/Marshall Company, The|Walden Media",Ruby Barnhill,Mark Rylance,Rebecca Hall,Steven Spielberg,1,2016,6
6000000.0,http://www.thewrestlermovie.com/,12163,en,The Wrestler,"Aging wrestler Randy ""The Ram"" Robinson is long past his prime but still ready and rarin' to go on the pro-wrestling circuit. After a particularly brutal beating, however, Randy hangs up his tights, pursues a serious relationship with a long-in-the-tooth stripper, and tries to reconnect with his estranged daughter. But he can't resist the lure of the ring and readies himself for a comeback.",40.196514,2008-09-07,44703995.0,109.0,Released,Love. Pain. Glory.,The Wrestler,7.3,1000,Drama|Romance,supermarket|heart attack|ambition|daughter|wrestling|sport|stripper|steroids|fame|barbed wire|wrestler|redemption,Saturn Films|Wild Bunch|Protozoa Pictures|Top Rope,Mickey Rourke,Marisa Tomei,Evan Rachel Wood,Darren Aronofsky,1,2008,9
