,is_hit
2419,0
557,1
1261,1
3185,0
3703,0
661,1
761,1
1821,1
3819,0
1440,1
2039,1
2766,0
905,1
1008,0
2111,0
3640,0
923,1
2593,0
702,1
570,1
2215,0
2175,0
2141,0
1164,1
241,1
645,0
3832,0
3877,0
1581,1
912,1
341,1
1498,1
3431,0
2083,0
1096,1
2299,1
746,1
12,1
3736,0
807,0
913,1
2530,0
2738,0
2819,0
1756,1
10,1
2373,0
815,1
2674,0
2973,0
763,1
2583,1
1751,0
3639,0
2910,0
789,0
3215,0
1316,1
2920,0
439,1
48,1
295,1
1472,1
3290,0
1583,0
695,1
3086,0
1032,0
3768,0
1613,0
1386,1
879,1
1362,0
1161,1
2640,0
2631,0
1825,1
2446,0
229,1
2786,0
1734,1
3378,0
1691,0
1006,1
2355,0
3130,0
2588,0
1615,0
858,1
281,1
325,1
3689,0
3432,0
506,1
3514,1
3621,0
1951,1
1266,1
2617,0
791,1
668,0
1752,1
1888,1
3092,0
3051,0
374,1
358,1
672,1
1257,0
161,1
3635,0
277,1
1139,0
1676,0
2340,1
235,1
1452,0
1906,1
792,0
3280,0
2291,0
943,1
1451,1
636,0
765,1
2330,0
1474,0
1899,1
3896,0
2986,0
1245,1
3134,0
3242,0
1873,1
1233,1
3662,0
1430,0
1695,1
1020,1
1566,1
1357,0
2621,0
2119,0
1168,0
1959,1
211,1
1343,1
7,1
0,1
3810,0
398,1
2950,0
1726,1
3267,0
3857,0
2799,0
512,0
1648,1
1672,1
1795,1
516,0
3003,0
724,1
2985,0
3364,0
3061,0
1227,1
3907,0
616,1
2379,1
99,1
953,1
2042,1
1281,1
324,1
2517,0
471,1
2003,0
